Disruption Date/Time,Location,Type,Description,Cause,Closed Date,User,NAVCEN,local_date,location_country_state_or_detail,location_country_state_or_locode,user_country_state_or_detail,user_country_state_or_locode,coalesce,coalesced_country
03/18/2018 0600 EEST,"Port Said, Egypt",Marine,User: We have 4 DGPS and 3 GPS receivers on board. All of them affected. GPS were lost and DGPSs are being affected with not stable position or lost. Disturbance still continuous. NAVCEN: See U.S. Maritime Advisory concerning GPS Interference on the MSCI Portal. User encouraged to report the issue to the nearest communication authority.,Unknown Interference,05/07/2019,User: We have 4 DGPS and 3 GPS receivers on board. All of them affected. GPS were lost and DGPSs are being affected with not stable position or lost. Disturbance still continuous. ,: See U.S. Maritime Advisory concerning GPS Interference on the MSCI Portal. User encouraged to report the issue to the nearest communication authority.,2018-03-18,EG PSD,EG,,,EG PSD,EG
03/07/2018 500 PST,"San Francisco, California",Automobile,User: Since 5am 7th March we noticed that the L1 frequency has been marked unhealthy in the CNAV ephemeris message. This is still continuing at 5pm on the same day. All L2 CNAV ephemeris message indicate that the L1 is unhealthy. Additionally L5 is marked unhealthy however this was the case before 5am today as well. NAVCEN: The L2C and L5 signals are considered pre-operational. A pre-operational signal means the availability and other characteristics of the broadcast signal may not comply with all requirements of the relevant interface specifications and should be employed at the users own risk. Refer to Notice Advisory to NAVSTAR Users (NANU) 2014038 and 2014039.,User Equipment,05/07/2019,User: Since 5am 7th March we noticed that the L1 frequency has been marked unhealthy in the CNAV ephemeris message. This is still continuing at 5pm on the same day. All L2 CNAV ephemeris message indicate that the L1 is unhealthy. Additionally L5 is marked unhealthy however this was the case before 5am today as well. ,: The L2C and L5 signals are considered pre-operational. A pre-operational signal means the availability and other characteristics of the broadcast signal may not comply with all requirements of the relevant interface specifications and should be employed at the users own risk. Refer to Notice Advisory to NAVSTAR Users (NANU) 2014038 and 2014039.,2018-03-07,US CA,US CA,,,US CA,US
02/19/2018 04:42 UTC,"Washington (USA), Yellowknife (Canada), Brest (France)",Other,"User: On the 19th of February 2018, some IODE/IODC of the ephemeris/clock information transmitted by PRN#06 from 04:42:30 to 06:44:30 were the same (14,15) as the data used on the same day for that PRN from 03:53:00 to 04:42:30 while the navigation data were different in violation of the GPS ICD 200 IODE repetition rule (unicity over 6 hours) and of the GPS ICD 200 IODC repetition rule (unicity over 7 days). NAVCEN: Forwarded the report to the GPS Operations Center: The cause of the IODC repetition error was the result of an issue experienced with the ground control system. The problem has been corrected.",ICD_Violation,05/07/2019,"User: On the 19th of February 2018, some IODE/IODC of the ephemeris/clock information transmitted by PRN#06 from 04:42:30 to 06:44:30 were the same (14,15) as the data used on the same day for that PRN from 03:53:00 to 04:42:30 while the navigation data were different in violation of the GPS ICD 200 IODE repetition rule (unicity over 6 hours) and of the GPS ICD 200 IODC repetition rule (unicity over 7 days). ",: Forwarded the report to the GPS Operations Center: The cause of the IODC repetition error was the result of an issue experienced with the ground control system. The problem has been corrected.,2018-02-19,US WA,US WA,,,US WA,US
02/16/2018 1400 EST,"West Palm, Florida",Marine,"User provided no details related to their issue of their issue. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. No correlating reports from other users or interagency partners.",User Equipment,05/07/2019,User provided no details related to their issue of their issue. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. No correlating reports from other users or interagency partners.",2018-02-16,US FL,US FL,,,US FL,US
01/31/2018 0700 UTC EEST,"Bad Pyrmont, Germany",Timing,"User: This morning I was contacted by my [colleagues] who both have observed an anomaly in the timing characteristics of the GPS signal. [Colleague]s GPS receiver did an internal measurement against a Rubidium unit coupled with a very long time constant showed a time drift of -45ns an then back to zero whereas [colleague] is measuring the GPS offsets agains its internal HQ OCXO showed a time drift of +150ns and then back to zero. Both have used different types of receivers, [colleague] was using a [equipment] design with our proprietary receiver technology where [colleague] used the [equipment]. Is there a known anomaly in the GPS signal on Jan 31th between 7.00 and 8.00 UTC ? We have checked the number of received satellites and have found no outage. Best regards, NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. No correlating reports from other users or interagency partners.",Unknown Interference,05/07/2019,"User: This morning I was contacted by my [colleagues] who both have observed an anomaly in the timing characteristics of the GPS signal. [Colleague]s GPS receiver did an internal measurement against a Rubidium unit coupled with a very long time constant showed a time drift of -45ns an then back to zero whereas [colleague] is measuring the GPS offsets agains its internal HQ OCXO showed a time drift of +150ns and then back to zero. Both have used different types of receivers, [colleague] was using a [equipment] design with our proprietary receiver technology where [colleague] used the [equipment]. Is there a known anomaly in the GPS signal on Jan 31th between 7.00 and 8.00 UTC ? We have checked the number of received satellites and have found no outage. Best regards, ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. No correlating reports from other users or interagency partners.",2018-01-31,DE BPY,DE,,,DE BPY,DE
01/15/2018 1900 UTC,"Austin, TX",Automobile,"User: In post-processing of the L2C CNAV message, it was observed that ephemeris records for several SVs were in error. Specifically, Longitude of the Ascending Node and/or Mean Anomaly differed by 1 semi-circle (PI radians) as compared to LNAV ephemeris, on some SVs. We understand L2C is pre-operational; informing in the unlikely case this error had yet to be diagnosed. Follow-up from user: Please disregard a problem report submitted earlier suggesting an issue w/ GPS L2C ephemeris at the period specified. Suspected issue was found to be with the receiver. Closed as user equipment issue.",User Equipment,05/07/2019,"User: In post-processing of the L2C CNAV message, it was observed that ephemeris records for several SVs were in error. Specifically, Longitude of the Ascending Node and/or Mean Anomaly differed by 1 semi-circle (PI radians) as compared to LNAV ephemeris, on some SVs. We understand L2C is pre-operational; informing in the unlikely case this error had yet to be diagnosed. Follow-up from user: Please disregard a problem report submitted earlier suggesting an issue w/ GPS L2C ephemeris at the period specified. Suspected issue was found to be with the receiver. Closed as user equipment issue.",,2018-01-15,US TX,US TX,,,US TX,US
01/08/2018 7:30 pm PST,"Hinkley,California",Automobile,"User: Heading East on highway 58, near Hinkley, CA, the GPS in the navigation suddenly announced ""off route and recalculating"", when the map restored, it showed the vehicle to the north of highway 58. Over 5 miles it slowly moved back until it showed us back on the highway. we checked both our cell phones and they showed the same error. On our return trip on Jan. 16, the same error occurred going west on highway 58 also just west of Hinkley. NAVCEN: No correlating reports from other users or interagency partners. User provided information on how to contact mapping software providers to update their location details.",Mapping Issue,05/07/2019,"User: Heading East on highway 58, near Hinkley, CA, the GPS in the navigation suddenly announced ""off route and recalculating"", when the map restored, it showed the vehicle to the north of highway 58. Over 5 miles it slowly moved back until it showed us back on the highway. we checked both our cell phones and they showed the same error. On our return trip on Jan. 16, the same error occurred going west on highway 58 also just west of Hinkley. ",: No correlating reports from other users or interagency partners. User provided information on how to contact mapping software providers to update their location details.,2018-01-08,US CA,US CA,US HLH,US CA,US CA,US
01/01/2018 1100 AEST,Southern Tasmania,Marine,"User: Numerous high HDOP errors frequently occurring over previous 3 months. Our unit is set to alarm at HDOP>2.0, and the alarm has been sounding numerous times each day. Vessel operating in southern Tasmania region, within a 200 mile radius of the position given above. Occasional very high spike into HDOP>30, and 2 occurrences >100, with subsequent position shift of around 200 metres noticed on ECDIS. Backup GPS receiver also shows occasional high DOP error (not split into HDOP and VDOP), but not as high as main unit. Is this likely to be a receiver fault? NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. No correlating reports from other users or interagency partners.",User Equipment,05/07/2019,"User: Numerous high HDOP errors frequently occurring over previous 3 months. Our unit is set to alarm at HDOP>2.0, and the alarm has been sounding numerous times each day. Vessel operating in southern Tasmania region, within a 200 mile radius of the position given above. Occasional very high spike into HDOP>30, and 2 occurrences >100, with subsequent position shift of around 200 metres noticed on ECDIS. Backup GPS receiver also shows occasional high DOP error (not split into HDOP and VDOP), but not as high as main unit. Is this likely to be a receiver fault? ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. No correlating reports from other users or interagency partners.",2018-01-01,CI MJC,BW SO,,,CI MJC,CI
01/01/2018 1200 Mountain Standard Time,"Breckenridge, CO",Automobile,"USER: I was hoping to find out what GPS satellite was assigned to my vehicle for GPS. Has it been decommissioned or not updated? I cannot get any satisfaction from dealer. Confusing because I still have compass function and time, but date will always correspond to day and date in 2015. Seems it has not been updated since then and I am frustrated by that. NAVCEN: There is no activity in the GPS constellation of satellites that could be causing the problem indicated. GPS equipment is not assigned a specific satellite. Rather the equipment will track all satellites in view, usually 8-12 of them depending on location. However, given this type of date time problem and the subsequent failure of your equipment, there is a high probability that your equipment was affected by the 2019 GPS rollover event. If your equipment is showing a date other than todays date, this is a problem with how your equipment is handling the updated GPS week number value. We recommend you ensure your equipment software is up to date, refer to your equipment manual, update your application, or contact your application developer or equipment manufacturer for assistance. We recommend all users share these reports with their application developer or equipment manufacturer. This real world feedback can help developers and manufacturers improve their products. Update: Manufacturer has stated the user must replace the equipment.",User Equipment,12/20/2019,"USER: I was hoping to find out what GPS satellite was assigned to my vehicle for GPS. Has it been decommissioned or not updated? I cannot get any satisfaction from dealer. Confusing because I still have compass function and time, but date will always correspond to day and date in 2015. Seems it has not been updated since then and I am frustrated by that. ",": There is no activity in the GPS constellation of satellites that could be causing the problem indicated. GPS equipment is not assigned a specific satellite. Rather the equipment will track all satellites in view, usually 8-12 of them depending on location. However, given this type of date time problem and the subsequent failure of your equipment, there is a high probability that your equipment was affected by the 2019 GPS rollover event. If your equipment is showing a date other than todays date, this is a problem with how your equipment is handling the updated GPS week number value. We recommend you ensure your equipment software is up to date, refer to your equipment manual, update your application, or contact your application developer or equipment manufacturer for assistance. We recommend all users share these reports with their application developer or equipment manufacturer. This real world feedback can help developers and manufacturers improve their products. Update: Manufacturer has stated the user must replace the equipment.",2018-01-01,US KRG,US CO,,,US KRG,US
12/12/2017 8:45 am EST,"West Chester, PA",Transportation,User: Unable to acquire satellites even after restarting unit. NAVCEN: User encouraged to contact their equipment manufacturer for further assistance. User later reported a software update corrected the issue.,User Equipment,05/20/2019,User: Unable to acquire satellites even after restarting unit. ,: User encouraged to contact their equipment manufacturer for further assistance. User later reported a software update corrected the issue.,2017-12-12,US WCT,US PA,,,US WCT,US
12/02/2017 13:57 EST,"New York City, New York",Timing,"User: We have two receivers using separate antennas located on the west side of the building. The loss of timing happens ~4 minutes earlier every day. Problem started on 2 Dec at 1402 Eastern and last interruption was 30 Dec 1210 Eastern. Only recently started to log sats but it seems to happen when sat 12 is starting to be used by the receiver. This setup has been in use for >5 years with out coverage issue so I dont think that is the problem. We stay locked with 3 sats in view and this problem occurs with more than 3 sats. Confirmed there is no in band RF interference. We would appreciate any information since we are at a loss as what to do to remedy or mitigate this issue. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. User informed the issue is most likely related to the location of the equipment and equipment settings.",User Equipment,05/20/2019,User: We have two receivers using separate antennas located on the west side of the building. The loss of timing happens ~4 minutes earlier every day. Problem started on 2 Dec at 1402 Eastern and last interruption was 30 Dec 1210 Eastern. Only recently started to log sats but it seems to happen when sat 12 is starting to be used by the receiver. This setup has been in use for >5 years with out coverage issue so I dont think that is the problem. We stay locked with 3 sats in view and this problem occurs with more than 3 sats. Confirmed there is no in band RF interference. We would appreciate any information since we are at a loss as what to do to remedy or mitigate this issue. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. User informed the issue is most likely related to the location of the equipment and equipment settings.",2017-12-02,US NY,US NY,,,US NY,US
11/30/2017 2200 UTC,Global,Other,"User: GPS PRN22 orbit error started to wander off. Problem seen globally, but worst on USA East Coast and East Australia. We would like to understand the reason for the anomaly. NAVCEN: The GPS Operations Center reported PRN 22 was healthy and performing nominally. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",User Equipment,05/20/2019,"User: GPS PRN22 orbit error started to wander off. Problem seen globally, but worst on USA East Coast and East Australia. We would like to understand the reason for the anomaly. ",: The GPS Operations Center reported PRN 22 was healthy and performing nominally. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.,2017-11-30,FJ BFJ,FJ 01,AU,AU,FJ BFJ,FJ
11/19/2017 4:17 PM PST,"Concord, CA",Other,User: Mobile phone GPS application unable to locate user. Device reset corrected the problem.,User Equipment,05/20/2019,User: Mobile phone GPS application unable to locate user. Device reset corrected the problem.,,2017-11-19,US CA,US CA,,,US CA,US
11/07/2017 3am EST,"Worth, NY",Communications,"User: Mobile phone has not been able to connect to GPS all day. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",User Equipment,05/20/2019,User: Mobile phone has not been able to connect to GPS all day. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",2017-11-07,US NY,US NY,,,US NY,US
11/06/2017 13:35:07 GMT,"Kume Island, Japan",Marine,"User: At 13:35:07, the GPS time output jumped to 13:37:16. It remained constant with this time offset for 10.5 hours. At 00:03:37, it jumped backwards from the offset time to the correct time. It maintained this time afterwards. This is a mature installation. Clear sky view. Other GPS receivers in operation did not experience problems. Were there any constellation issues at that time? If not, can you postulate a fault mechanism that could cause a constant time offset like this? Note: Question 6 did not allow ""2017"" as the year the disruption stopped. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. No correlating reports from other users or interagency partners.",User Equipment,04/15/2019,"User: At 13:35:07, the GPS time output jumped to 13:37:16. It remained constant with this time offset for 10.5 hours. At 00:03:37, it jumped backwards from the offset time to the correct time. It maintained this time afterwards. This is a mature installation. Clear sky view. Other GPS receivers in operation did not experience problems. Were there any constellation issues at that time? If not, can you postulate a fault mechanism that could cause a constant time offset like this? Note: Question 6 did not allow ""2017"" as the year the disruption stopped. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. No correlating reports from other users or interagency partners.",2017-11-06,JP,JP,US ME,US ME,JP,JP
11/04/2017 1000 AKST,"Anchorage, AK",Other,"User: Regularly use GPS on mobile devices to set and monitor trails in the area. No app could find a signal so used GPSDiagnostic to determine what satellites were accessible. The app indicated that it could identify NO satellites. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",Unknown Interference,05/20/2019,User: Regularly use GPS on mobile devices to set and monitor trails in the area. No app could find a signal so used GPSDiagnostic to determine what satellites were accessible. The app indicated that it could identify NO satellites. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",2017-11-04,US ANC,US AK,,,US ANC,US
10/28/2017 1500 EST,"Jordan Lake, NC",,"User: First indication of disruption were intermittent wrong time of day displays (roughly 3 hour advanced). GPS location tracking was also interrupted intermittently while sailing within 2 miles of specified location. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",User Equipment,05/20/2019,User: First indication of disruption were intermittent wrong time of day displays (roughly 3 hour advanced). GPS location tracking was also interrupted intermittently while sailing within 2 miles of specified location. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",2017-10-28,US NC,US NC,,,US NC,US
10/26/2017 12:00 EST,"Alexandria, VA",Transportation,"User: Mobile device GPS applications could not load the GPS, error stated GPS unavailable. NAVCEN: User encouraged to contact their map provider or mapping application developer.",Mapping Issue,05/20/2019,"User: Mobile device GPS applications could not load the GPS, error stated GPS unavailable. ",: User encouraged to contact their map provider or mapping application developer.,2017-10-26,US VA,US VA,,,US VA,US
10/24/2017 2115 UTC,Sea of Japan,Marine,"User: Both GPS systems onboard have been inoperable. GMDSS system is working correctly. App on phone using wifi is also working correctly. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",Unknown Interference,05/20/2019,User: Both GPS systems onboard have been inoperable. GMDSS system is working correctly. App on phone using wifi is also working correctly. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance.",2017-10-24,JP,JP,,,JP,JP
10/18/2017 0041 UTC,"Addison, TX",Aviation,"User: Several pilots have reported a problem with a GPS outage in the vicinity of the airport. The problem is happening while landing and departing both runways, and all pilots have stated that their RNAV instruments malfunction when close to the airport. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. Authorized GPS testing was scheduled near the reported location and may have impacted GPS performance.",GPS Testing,05/20/2019,"User: Several pilots have reported a problem with a GPS outage in the vicinity of the airport. The problem is happening while landing and departing both runways, and all pilots have stated that their RNAV instruments malfunction when close to the airport. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. Authorized GPS testing was scheduled near the reported location and may have impacted GPS performance.",2017-10-18,US TX,US TX,,,US TX,US
10/12/2017 1200 EST,"Scranton, PA",Automobile,"User: I was traveling from Vermont to Winchester Virginia when, at some point, the gps advised to turn west on an interstate to Scranton PA. I got completely lost. All I would like to know is if there were any ongoing issues in that area yesterday. NAVCEN: User encouraged to contact their map provider or mapping application developer.",Mapping Issue,05/20/2019,"User: I was traveling from Vermont to Winchester Virginia when, at some point, the gps advised to turn west on an interstate to Scranton PA. I got completely lost. All I would like to know is if there were any ongoing issues in that area yesterday. ",: User encouraged to contact their map provider or mapping application developer.,2017-10-12,US DCN,US PA,US VT,US VA,US DCN,US
10/10/2017 0920 EST,"Macon, GA",Other,"User: GPS unit could not ﬁx any satellites until around 1300 on 10/10/2017. To be able to receive notifications of GPS constellation problems, where do I and or others sign up. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance. Provided information on how to subscribe to GPS information products through NAVCEN website. Directed user to the approved GPS testing page on NAVCEN website.",User Equipment,05/20/2019,"User: GPS unit could not ﬁx any satellites until around 1300 on 10/10/2017. To be able to receive notifications of GPS constellation problems, where do I and or others sign up. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported outage. Space Weather was reviewed and found unlikely to have impacted GPS performance. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for further assistance. Provided information on how to subscribe to GPS information products through ",2017-10-10,US GA,US GA,,,US GA,US
10/01/2017 16:30 EST,"Ringwood, NJ",Transportation,User: The GPS was anchored at the last site that was used as a detour for traffic Road work. I attempted to restart the unit at different locations with no success. NAVCEN: User encouraged to contact their map provider or mapping application developer.,Mapping Issue,05/20/2019,User: The GPS was anchored at the last site that was used as a detour for traffic Road work. I attempted to restart the unit at different locations with no success. ,: User encouraged to contact their map provider or mapping application developer.,2017-10-01,US NJ,US NJ,,,US NJ,US
09/25/2017 7:00 PST,"Hsinchu, China",,"User: Dear Sir, Recently the 2 MSBs of IODC has been set to non-zero value, which is different from the zero value that has been in use for more than 10 years before. Although our engineers tried to be very careful in preparation of ROM code release for GPS chipset implementation, checking various test scenarios using GPS simulator, we still missed an issue in applying the 2 MSBs of IODC. This and recent change of those 2 MSBs becoming non-zero value caused about 2 million units of GPS receivers worldwide that worked perfectly for many years now suddenly have potential problem of unable to get position fix, we are beginning to get many customer problem reports coming in this week. May I ask if this IODC parameter will be set to a number < 256 again? And could the two MSBs of IODC be set to zero again as soon as possible please? Thank you very much. NAVCEN: We have contacted the GPS Operations Center and they have informed us that: “After a recent ground system software update, we received reports of some users experiencing negative issues. As a result, we re-verified that our software update was indeed in complete compliance with IS-GPS-200 standards. Nonetheless, in order to continue to support all of our users to the maximum extent possible, we rolled back the software update to a previous version so that we can take the time to consult with the affected receiver manufacturer and proceed forward in a way to ensure dependable access to GPS for all users. In this case, as always, Air Force officials continue to work with their counterparts in the U.S. Coast Guard to analyze and respond to all user concerns.” Encouraged user to supply additional information on impacts to user equipment and mitigations employed to deal with this change. Input shared with the U.S. Air Force. User equipment does not meet IS-GPS-200 requirements. You can find the Interface Specification (IS-GPS-200) in the technical documentation section of GPS.gov under Interface Specifications (GPS.gov).",User Equipment,05/20/2019,"User: Dear Sir, Recently the 2 MSBs of IODC has been set to non-zero value, which is different from the zero value that has been in use for more than 10 years before. Although our engineers tried to be very careful in preparation of ROM code release for GPS chipset implementation, checking various test scenarios using GPS simulator, we still missed an issue in applying the 2 MSBs of IODC. This and recent change of those 2 MSBs becoming non-zero value caused about 2 million units of GPS receivers worldwide that worked perfectly for many years now suddenly have potential problem of unable to get position fix, we are beginning to get many customer problem reports coming in this week. May I ask if this IODC parameter will be set to a number < 256 again? And could the two MSBs of IODC be set to zero again as soon as possible please? Thank you very much. ",": We have contacted the GPS Operations Center and they have informed us that: “After a recent ground system software update, we received reports of some users experiencing negative issues. As a result, we re-verified that our software update was indeed in complete compliance with IS-GPS-200 standards. Nonetheless, in order to continue to support all of our users to the maximum extent possible, we rolled back the software update to a previous version so that we can take the time to consult with the affected receiver manufacturer and proceed forward in a way to ensure dependable access to GPS for all users. In this case, as always, Air Force officials continue to work with their counterparts in the U.S. Coast Guard to analyze and respond to all user concerns.” Encouraged user to supply additional information on impacts to user equipment and mitigations employed to deal with this change. Input shared with the U.S. Air Force. User equipment does not meet IS-GPS-200 requirements. You can find the Interface Specification (IS-GPS-200) in the technical documentation section of GPS.gov under Interface Specifications (GPS.gov).",2017-09-25,CN,CN,,,CN,CN
09/25/2017 09:00 CET,"Perugia, Italy",Timing,"User: Civil Defense and Environemental Monitor application We have about 300 units which will stop to work if a cold start will happen. The unit cannot get basic information for first fix. They are installed worldwide in remote stations. Manufacturer of [manufacturer] reported the signal from GPS is no longer compatibile with these units, the units cannot be updated because the firmware is not accessible. We do not know the exact date of signal change, approximately the problem started in a time window between Mid August 2016 and 25 September 2016. Although this problem is generating costs to our company in terms or workaround and replacement of parts, there are many instrument that cannot be accessed easily and this will cause a interruption of services for the public interest. Thank you for your attention and cooperation.  NAVCEN Response: We have contacted the GPS Operations Center and they have informed us that: “After a recent ground system software update, we received reports of some users experiencing negative issues. As a result, we re-verified that our software update was indeed in complete compliance with IS-GPS-200 standards. Nonetheless, in order to continue to support all of our users to the maximum extent possible, we rolled back the software update to a previous version so that we can take the time to consult with the affected receiver manufacturer and proceed forward in a way to ensure dependable access to GPS for all users. In this case, as always, Air Force officials continue to work with their counterparts in the U.S. Coast Guard to analyze and respond to all user concerns.” User equipment does not meet IS-GPS-200 requirements. You can find the Interface Specification (IS-GPS-200), dated July 2017, in the technical documentation section of GPS.gov under Interface Specifications (http://www.gps.gov/technical/).",User Equipment,05/20/2019,"User: Civil Defense and Environemental Monitor application We have about 300 units which will stop to work if a cold start will happen. The unit cannot get basic information for first fix. They are installed worldwide in remote stations. Manufacturer of [manufacturer] reported the signal from GPS is no longer compatibile with these units, the units cannot be updated because the firmware is not accessible. We do not know the exact date of signal change, approximately the problem started in a time window between Mid August 2016 and 25 September 2016. Although this problem is generating costs to our company in terms or workaround and replacement of parts, there are many instrument that cannot be accessed easily and this will cause a interruption of services for the public interest. Thank you for your attention and cooperation.  "," Response: We have contacted the GPS Operations Center and they have informed us that: “After a recent ground system software update, we received reports of some users experiencing negative issues. As a result, we re-verified that our software update was indeed in complete compliance with IS-GPS-200 standards. Nonetheless, in order to continue to support all of our users to the maximum extent possible, we rolled back the software update to a previous version so that we can take the time to consult with the affected receiver manufacturer and proceed forward in a way to ensure dependable access to GPS for all users. In this case, as always, Air Force officials continue to work with their counterparts in the U.S. Coast Guard to analyze and respond to all user concerns.” User equipment does not meet IS-GPS-200 requirements. You can find the Interface Specification (IS-GPS-200), dated July 2017, in the technical documentation section of GPS.gov under Interface Specifications (http://www.gps.gov/technical/).",2017-09-25,IT PEG,IT PG,,,IT PEG,IT
